time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: 0.0010979999999999983
time: 95.0, P0: 0.9821353856849666, P1: 0.015029172231600527, P2: 0.00283544208343259, TI2: 0.001798056398465706
time: 96.0, P0: 0.9821383106548376, P1: 0.015022951487363682, P2: 0.0028387378577984816, TI2: 0.0017984272029606444
time: 97.0, P0: 0.9821313704887371, P1: 0.015040093223474266, P2: 0.0028285362877883144, TI2: 0.0017951657990508939
time: 98.0, P0: 0.9821376234576863, P1: 0.015025982654770157, P2: 0.0028363938875432607, TI2: 0.0017967704298566763
time: 99.0, P0: 0.9821346374103377, P1: 0.015033751616033167, P2: 0.002831610973628877, TI2: 0.0017949735632909194
time: 100.0, P0: 0.9821378045025256, P1: 0.015026942928385734, P2: 0.002835252569088339, TI2: 0.0017954480665624106
time: 101.0, P0: 0.9821368866070429, P1: 0.015029806197786792, P2: 0.002833307195169924, TI2: 0.0017944205881266378
time: 102.0, P0: 0.9821388004929831, P1: 0.015025958682677788, P2: 0.0028352408243387697, TI2: 0.0017944403313553269
time: 103.0, P0: 0.9821391923388951, P1: 0.015025712674729758, P2: 0.002835094986374676, TI2: 0.0017939026474791087
time: 104.0, P0: 0.9821376944218133, P1: 0.015029939162874133, P2: 0.0028323664153121703, TI2: 0.0017926719934984732
time: 105.0, P0: 0.9821430781809215, P1: 0.015017862524374486, P2: 0.002839059294703618, TI2: 0.0017939811137817217
time: 106.0, P0: 0.9821365642286665, P1: 0.015033962802093683, P2: 0.0028294729692394426, TI2: 0.0017909087405725659
time: 107.0, P0: 0.982140601189195, P1: 0.015025069191705204, P2: 0.002834329619099356, TI2: 0.0017917284299039159
time: 108.0, P0: 0.9821399886300402, P1: 0.01502718479594445, P2: 0.002832826574015003, TI2: 0.0017908379439744563
time: 109.0, P0: 0.9821408178817823, P1: 0.015025881964198183, P2: 0.0028333001540191065, TI2: 0.0017904822722363961
time: 110.0, P0: 0.9821417804738624, P1: 0.015024259904410413, P2: 0.0028339596217267704, TI2: 0.0017901791478639542
time: 111.0, P0: 0.9821416210357653, P1: 0.015025292048577716, P2: 0.0028330869156565114, TI2: 0.001789465879890738
time: 112.0, P0: 0.9821439661719898, P1: 0.015020388599079603, P2: 0.0028356452289300966, TI2: 0.0017896790569397955
time: 113.0, P0: 0.9821407271547107, P1: 0.01502870817773262, P2: 0.0028305646675562614, TI2: 0.0017878375128451416
time: 114.0, P0: 0.9821466817671176, P1: 0.015015248797922922, P2: 0.0028380694349590604, TI2: 0.0017893876678410428
