time: 0.0, P0: 0.98, P1: 0.02, P2: 0.0, TI2: -8.000000000000021e-05(neg)
time: 162.0, P0: 0.9999960175487514, P1: 3.6664400115893593e-06, P2: 3.1601123670700783e-07, TI2: -0.02007570153751499
time: 163.0, P0: 0.9999968432470066, P1: 2.013742712934028e-06, P2: 1.143010280317354e-06, TI2: -0.02007570023672642
time: 164.0, P0: 0.9999958739325532, P1: 4.561911768819353e-06, P2: -4.358443222122436e-07,(neg) TI2: -0.020076309776875596(neg)
time: 165.0, P0: 0.9999969427655143, P1: 2.3101428020720484e-06, P2: 7.470916833612284e-07, TI2: -0.020076195673831197
time: 166.0, P0: 0.9999964644227372, P1: 3.6786527316691677e-06, P2: -1.430754690768193e-07, TI2: -0.020076607498206476
time: 167.0, P0: 0.9999971969237669, P1: 2.191351986723501e-06, P2: 6.117242462596714e-07, TI2: -0.020076585199520748
time: 168.0, P0: 0.9999969176073008, P1: 3.0684080944152965e-06, P2: 1.3984604550793704e-08, TI2: -0.020076903622696474
time: 169.0, P0: 0.9999975853082022, P1: 1.7104179109033282e-06, P2: 7.042738866894615e-07, TI2: -0.020076881034315708
time: 170.0, P0: 0.999997210289372, P1: 2.7905045158079273e-06, P2: -7.938880740394057e-10, TI2: -0.02007721108326033
time: 171.0, P0: 0.9999979291953567, P1: 1.2916508194950796e-06, P2: 7.791538234798669e-07, TI2: -0.020077150041533535
time: 172.0, P0: 0.999997684089324, P1: 2.047080368048518e-06, P2: 2.688303077048821e-07, TI2: -0.02007741525901653
time: 173.0, P0: 0.999997547025051, P1: 2.5397356649248793e-06, P2: -8.676071620340307e-08, TI2: -0.020077633785767473
time: 174.0, P0: 0.999997997154498, P1: 1.6448653802499833e-06, P2: 3.5798012149187616e-07, TI2: -0.020077639174376757
time: 175.0, P0: 0.9999977795509017, P1: 2.309886462768163e-06, P2: -8.943736479250155e-08, TI2: -0.020077868988266807
